Query_ID	Doc_ID	Rank	Score
1	51	1	13.0
1	874	2	12.0
1	486	3	10.0
1	792	4	9.0
1	1268	5	8.0
1	329	6	8.0
1	1328	7	7.5
1	12	8	7.5
1	564	9	7.0
1	1263	10	7.0
1	193	11	7.0
1	435	12	7.0
1	876	13	6.5
1	315	14	6.5
1	1144	15	6.5
1	1147	16	6.5
1	522	17	6.0
1	184	18	6.0
1	101	19	6.0
1	982	20	6.0
1	606	21	6.0
1	13	22	6.0
1	662	23	6.0
1	252	24	5.5
1	158	25	5.5
1	114	26	5.5
1	685	27	5.5
1	56	28	5.5
1	82	29	5.5
1	717	30	5.5
1	272	31	5.0
1	571	32	5.0
1	1104	33	5.0
1	962	34	5.0
1	635	35	5.0
1	294	36	5.0
1	588	37	5.0
1	1226	38	5.0
1	359	39	5.0
1	29	40	5.0
1	283	41	5.0
1	747	42	5.0
1	707	43	5.0
1	1213	44	4.5
1	686	45	4.5
1	878	46	4.5
1	746	47	4.5
1	623	48	4.5
1	156	49	4.5
1	493	50	4.5
1	800	51	4.5
1	240	52	4.5
1	712	53	4.5
1	799	54	4.5
1	566	55	4.5
1	253	56	4.5
1	1341	57	4.5
1	1097	58	4.5
1	395	59	4.5
1	576	60	4.5
1	542	61	4.0
1	378	62	4.0
1	244	63	4.0
1	1040	64	4.0
1	1393	65	4.0
1	584	66	4.0
1	141	67	4.0
1	1164	68	4.0
1	280	69	4.0
1	5	70	4.0
1	14	71	4.0
1	316	72	4.0
1	1300	73	4.0
1	1207	74	4.0
1	798	75	4.0
1	1169	76	4.0
1	328	77	4.0
1	554	78	4.0
1	572	79	4.0
1	431	80	3.5
1	1340	81	3.5
1	332	82	3.5
1	100	83	3.5
1	142	84	3.5
1	102	85	3.5
1	1250	86	3.5
1	1380	87	3.5
1	1201	88	3.5
1	944	89	3.5
1	546	90	3.5
1	1098	91	3.5
1	1155	92	3.5
1	78	93	3.5
1	873	94	3.5
1	872	95	3.5
1	92	96	3.5
1	663	97	3.5
1	1191	98	3.5
1	638	99	3.5
1	1163	100	3.5
1	555	101	3.5
1	49	102	3.5
1	879	103	3.5
1	1107	104	3.5
1	364	105	3.5
1	144	106	3.5
1	52	107	3.5
1	25	108	3.5
1	302	109	3.0
1	665	110	3.0
1	303	111	3.0
1	62	112	3.0
1	80	113	3.0
1	981	114	3.0
1	976	115	3.0
1	700	116	3.0
1	197	117	3.0
1	593	118	3.0
1	497	119	3.0
1	120	120	3.0
1	45	121	3.0
1	209	122	3.0
1	1307	123	3.0
1	658	124	3.0
1	552	125	3.0
1	1303	126	3.0
1	204	127	3.0
1	986	128	3.0
1	1063	129	3.0
1	24	130	3.0
1	429	131	3.0
1	991	132	3.0
1	453	133	3.0
1	262	134	3.0
1	1366	135	3.0
1	216	136	3.0
1	711	137	3.0
1	959	138	3.0
1	214	139	3.0
1	666	140	3.0
1	1212	141	3.0
1	135	142	3.0
1	1338	143	3.0
1	430	144	3.0
1	77	145	3.0
1	1244	146	3.0
1	202	147	3.0
1	651	148	2.5
1	414	149	2.5
1	767	150	2.5
1	579	151	2.5
1	185	152	2.5
1	334	153	2.5
1	817	154	2.5
1	406	155	2.5
1	689	156	2.5
1	33	157	2.5
1	123	158	2.5
1	1315	159	2.5
1	1258	160	2.5
1	578	161	2.5
1	1111	162	2.5
1	927	163	2.5
1	526	164	2.5
1	438	165	2.5
1	211	166	2.5
1	540	167	2.5
1	980	168	2.5
