Query_ID	Doc_ID	Rank	Score
1	13	1	18.62793653486327
1	486	2	17.044945799528726
1	184	3	16.52474099794813
1	1268	4	13.14479184251086
1	792	5	12.3948392894332
1	12	6	11.929339902052863
1	746	7	11.699285816488082
1	51	8	11.102837340740958
1	875	9	10.911189543500154
1	1144	10	9.635204563957867
1	141	11	8.865145376429465
1	747	12	8.56832794945139
1	435	13	7.588190988649525
1	1362	14	7.191377484949142
1	1143	15	7.174251050242733
1	78	16	7.104602772155522
1	880	17	6.735513962783089
1	540	18	6.694889177801303
1	1246	19	6.693887121410924
1	311	20	6.563319805833964
1	14	21	6.533624363378485
1	914	22	6.532005458004475
1	685	23	6.49600592497522
1	1147	24	6.482523718844206
1	1111	25	6.383530127194467
1	252	26	6.289014257833099
1	878	27	6.266746895869533
1	876	28	6.249723046389962
1	429	29	6.224229712474681
1	552	30	6.126157841121275
1	1169	31	6.099827799777413
1	1063	32	5.945323920902945
1	606	33	5.863914510741285
1	202	34	5.810478692509056
1	686	35	5.773223849802099
1	700	36	5.643246403044036
1	52	37	5.6369796235073135
1	92	38	5.6102365457566785
1	327	39	5.605813262673013
1	359	40	5.564264102407147
1	280	41	5.557412866009032
1	1250	42	5.503936900703579
1	154	43	5.414653111452332
1	430	44	5.41383545315802
1	1361	45	5.409201405233446
1	172	46	5.376172445714439
1	203	47	5.367715806054341
1	945	48	5.330881052251518
1	1098	49	5.2994209254053075
1	781	50	5.292368970948185
1	195	51	5.249452463568086
1	1168	52	5.171903725203821
1	349	53	5.145566591221678
1	204	54	5.1370626719412416
1	102	55	5.084301137923346
1	209	56	5.028936734669542
1	309	57	4.954919100373555
1	1089	58	4.908283616824555
1	874	59	4.906367745863354
1	100	60	4.895085810843157
1	643	61	4.85497469879736
1	1167	62	4.806299774962852
1	755	63	4.802576129043985
1	573	64	4.7905844441153445
1	57	65	4.758809642248623
1	332	66	4.718134398945086
1	588	67	4.705856589912178
1	56	68	4.649156304574063
1	253	69	4.5792829793884255
1	1328	70	4.562661090429733
1	663	71	4.554333607270416
1	197	72	4.545704251734667
1	1012	73	4.472875486162981
1	1072	74	4.459923147845804
1	860	75	4.395091371749728
1	25	76	4.39484382023198
1	911	77	4.381513870289062
1	883	78	4.376763838281509
1	373	79	4.347991985286873
1	374	80	4.334466531619483
1	66	81	4.260931512088911
1	593	82	4.241966130601103
1	725	83	4.216934119954068
1	576	84	4.208449473704933
1	36	85	4.153631329022987
1	251	86	4.151152696772491
1	1155	87	4.150305502578767
1	47	88	4.149840239701592
1	236	89	4.1228041627055845
1	665	90	4.045716213401567
1	740	91	4.028124691088742
1	1197	92	4.015691014634962
1	1165	93	4.006914498448663
1	497	94	4.006075909831514
1	1380	95	3.9906472694152395
1	244	96	3.9670589070319697
1	909	97	3.9216456425331896
1	28	98	3.9032988612299926
1	285	99	3.9016419940129357
1	394	100	3.8997793770125835
1	29	101	3.877583517317804
1	1166	102	3.876136678589249
1	859	103	3.8710086981568343
1	378	104	3.8640024784386675
1	211	105	3.7548166442085336
1	42	106	3.7316573033126765
1	302	107	3.7308950091446373
1	526	108	3.727310906861598
1	441	109	3.684276986682076
1	1303	110	3.6300996514880324
1	1304	111	3.6213309722101883
1	315	112	3.621289747745593
1	801	113	3.6169416702120327
1	158	114	3.594756160073718
1	1315	115	3.593654921885568
1	404	116	3.5646502496317893
1	1163	117	3.5476683834116365
1	1392	118	3.5414184896223855
1	104	119	3.5406168040034167
1	329	120	3.5375890400983336
1	658	121	3.511534053215703
1	232	122	3.474746236014892
1	152	123	3.464393130181718
1	810	124	3.4349723104482868
1	1387	125	3.429871980767419
1	712	126	3.4051237719773706
1	316	127	3.3909829391217583
1	726	128	3.386424001415719
1	284	129	3.3826992826113997
1	1313	130	3.3705247047875577
1	453	131	3.3635706491840454
1	345	132	3.332271991311705
1	1003	133	3.312598537716906
1	1180	134	3.3075864772729786
1	858	135	3.2952730845227354
1	572	136	3.2937431767752914
1	2	137	3.2438970195982675
1	799	138	3.2158688604638392
1	59	139	3.205314525475295
1	991	140	3.1840458611704934
1	687	141	3.159441567547377
1	1095	142	3.1553770980673397
1	1042	143	3.147264512221224
1	571	144	3.1047255147526682
1	917	145	3.104692648207206
1	1101	146	3.08598306509342
1	416	147	3.076229772457275
1	675	148	3.0700133558040403
1	300	149	3.0479222708029594
1	1239	150	3.0360209529652353
1	370	151	3.0239276875942127
1	1051	152	3.016796831654093
