Query_ID	Doc_ID	Rank	Score
1	792	1	25.5
1	798	2	25.5
1	1147	3	25.5
1	874	4	25.0
1	51	5	24.0
1	1313	6	23.5
1	131	7	23.5
1	717	8	22.5
1	1201	9	21.0
1	640	10	20.5
1	244	11	20.5
1	262	12	20.5
1	193	13	20.0
1	1144	14	20.0
1	927	15	19.5
1	695	16	19.5
1	662	17	19.5
1	329	18	19.0
1	576	19	19.0
1	82	20	18.5
1	1268	21	18.0
1	826	22	18.0
1	1040	23	18.0
1	962	24	18.0
1	433	25	18.0
1	14	26	18.0
1	56	27	18.0
1	928	28	17.5
1	89	29	17.0
1	1104	30	17.0
1	721	31	17.0
1	1047	32	17.0
1	83	33	16.5
1	499	34	16.5
1	1226	35	16.5
1	315	36	16.0
1	73	37	16.0
1	588	38	16.0
1	1277	39	16.0
1	49	40	16.0
1	300	41	16.0
1	140	42	15.5
1	96	43	15.5
1	1239	44	15.5
1	658	45	15.5
1	673	46	15.5
1	373	47	15.5
1	414	48	15.0
1	252	49	15.0
1	976	50	15.0
1	272	51	15.0
1	1392	52	15.0
1	29	53	15.0
1	435	54	15.0
1	730	55	15.0
1	486	56	15.0
1	1244	57	15.0
1	1335	58	14.5
1	156	59	14.5
1	710	60	14.5
1	704	61	14.5
1	947	62	14.5
1	344	63	14.5
1	712	64	14.5
1	992	65	14.5
1	1263	66	14.5
1	1300	67	14.5
1	991	68	14.5
1	1292	69	14.5
1	94	70	14.0
1	151	71	14.0
1	946	72	14.0
1	1328	73	14.0
1	1307	74	14.0
1	204	75	14.0
1	638	76	14.0
1	811	77	14.0
1	417	78	14.0
1	9	79	14.0
1	1167	80	14.0
1	77	81	14.0
1	325	82	13.5
1	80	83	13.5
1	564	84	13.5
1	197	85	13.5
1	33	86	13.5
1	1218	87	13.5
1	625	88	13.5
1	114	89	13.5
1	277	90	13.5
1	85	91	13.5
1	12	92	13.5
1	707	93	13.5
1	225	94	13.5
1	572	95	13.5
1	174	96	13.0
1	1352	97	13.0
1	1061	98	13.0
1	240	99	13.0
1	99	100	13.0
1	980	101	13.0
1	442	102	13.0
1	170	103	13.0
1	747	104	13.0
1	274	105	13.0
1	395	106	13.0
1	189	107	13.0
1	332	108	12.5
1	100	109	12.5
1	124	110	12.5
1	675	111	12.5
1	294	112	12.5
1	342	113	12.5
1	1322	114	12.5
1	808	115	12.5
1	92	116	12.5
1	1119	117	12.5
1	210	118	12.5
1	423	119	12.5
1	1164	120	12.5
1	685	121	12.5
1	917	122	12.5
1	1072	123	12.5
1	216	124	12.5
1	364	125	12.5
1	934	126	12.0
1	62	127	12.0
1	334	128	12.0
1	522	129	12.0
1	45	130	12.0
1	1375	131	12.0
1	872	132	12.0
1	1381	133	12.0
1	1246	134	12.0
1	560	135	12.0
1	1341	136	12.0
1	101	137	12.0
1	1039	138	12.0
1	801	139	12.0
1	1342	140	12.0
1	889	141	12.0
1	466	142	12.0
1	172	143	12.0
1	1325	144	12.0
1	213	145	12.0
1	110	146	12.0
1	163	147	12.0
1	1338	148	12.0
1	25	149	12.0
1	686	150	11.5
1	767	151	11.5
1	815	152	11.5
1	797	153	11.5
1	1380	154	11.5
1	206	155	11.5
1	232	156	11.5
1	987	157	11.5
1	493	158	11.5
1	198	159	11.5
1	806	160	11.5
1	234	161	11.5
1	1154	162	11.5
1	529	163	11.5
1	211	164	11.5
1	773	165	11.5
1	253	166	11.5
1	1321	167	11.5
1	828	168	11.5
1	1351	169	11.5
1	563	170	11.5
1	202	171	11.5
1	876	172	11.0
1	1108	173	11.0
1	827	174	11.0
1	665	175	11.0
1	822	176	11.0
1	219	177	11.0
1	1383	178	11.0
1	656	179	11.0
1	416	180	11.0
1	184	181	11.0
1	1035	182	11.0
1	1115	183	11.0
1	166	184	11.0
1	540	185	11.0
1	1303	186	11.0
1	566	187	11.0
1	1114	188	11.0
1	160	189	11.0
1	44	190	11.0
1	1082	191	11.0
1	1163	192	11.0
1	982	193	11.0
1	1387	194	11.0
1	453	195	11.0
1	434	196	11.0
1	187	197	11.0
1	132	198	11.0
1	1097	199	11.0
1	13	200	11.0
2	1201	1	87.0
2	798	2	82.0
2	1313	3	70.0
2	329	4	65.0
2	927	5	56.0
2	792	6	55.0
2	499	7	51.5
2	417	8	51.0
2	89	9	50.5
2	673	10	49.5
2	1040	11	47.5
2	452	12	47.5
2	721	13	47.5
2	73	14	47.0
2	1147	15	46.5
2	94	16	46.0
2	433	17	46.0
2	1239	18	45.5
2	131	19	45.0
2	1144	20	43.5
2	244	21	42.5
2	160	22	42.5
2	1244	23	42.5
2	874	24	41.5
2	1047	25	41.5
2	757	26	41.0
2	364	27	41.0
2	928	28	40.5
2	826	29	40.5
2	992	30	40.5
2	522	31	40.0
2	140	32	39.5
2	315	33	39.5
2	1392	34	39.5
2	262	35	39.5
2	695	36	39.5
2	576	37	39.5
2	640	38	38.0
2	199	39	38.0
2	85	40	38.0
2	827	41	37.5
2	1072	42	37.5
2	33	43	37.0
2	234	44	37.0
2	731	45	37.0
2	423	46	37.0
2	225	47	37.0
2	797	48	36.5
2	272	49	36.5
2	14	50	36.5
2	132	51	36.5
2	662	52	36.5
2	976	53	36.0
2	99	54	36.0
2	1382	55	36.0
2	49	56	36.0
2	82	57	36.0
2	1198	58	36.0
2	206	59	35.5
2	1226	60	35.5
2	193	61	35.5
2	730	62	35.5
2	83	63	35.0
2	1061	64	35.0
2	1209	65	35.0
2	712	66	35.0
2	1082	67	35.0
2	51	68	35.0
2	466	69	35.0
2	189	70	35.0
2	96	71	34.5
2	675	72	34.5
2	210	73	34.5
2	170	74	34.5
2	1164	75	34.5
2	277	76	34.5
2	373	77	34.5
2	1268	78	34.0
2	962	79	34.0
2	151	80	34.0
2	1248	81	34.0
2	599	82	34.0
2	173	83	34.0
2	155	84	33.5
2	1375	85	33.5
2	344	86	33.5
2	625	87	33.5
2	572	88	33.5
2	658	89	33.0
2	1343	90	33.0
2	946	91	32.5
2	588	92	32.5
2	811	93	32.5
2	218	94	32.5
2	548	95	32.5
2	416	96	32.0
